_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
2032,2769,2347,brooklyn pizza,90035,9228 w pico blvd,3105509992,golden indian grill and pizza,90035,5954 w pico blvd,3239302193,-1
2033,2769,2691,brooklyn pizza,90035,9228 w pico blvd,3105509992,brooklyn pizza,90035,9228 w pico blvd,3105509992,1
2040,2776,2877,vittorio ristorante italiano,90272,16646 marquez ave,3104593755,vittorio ristorante & pizzeria,90272,16646 marquez ave,3104593755,1
2049,2786,3152,andre's pizza,90028,7038 hollywood blvd,3234621152,andre's pizza,90028,7038 hollywood blvd,3234621152,1
2050,2787,2006,m bar and restaurant,90038,1253 vine st,3238560036,atch-kotch japanese restaurant,90038,1253 vine st,3234675537,-1
2055,2803,3025,bella coco cafe,90017,1001 wilshire blvd,2136283090,bella coco cafe,90017,1001 wilshire blvd,2136283090,1
2060,2816,2547,panini cafe,90024,10861 lindbrook dr,3104432100,panini cafe,90024,10861 lindbrook dr,3104432100,1
2066,2824,4075,le petit greek,90004,127 n larchmont blvd,3234645160,le pain quotidien - larchmont,90004,113 n larchmont blvd,3234617701,-1
2103,2910,3371,mario's peruvian & seafood,90038,5786 melrose ave,3234664181,mario's peruvian & seafood,90038,5786 melrose ave,3234664181,1
2112,2915,2005,xiomara,90038,6101 melrose ave,3234610601,xiomara,90038,6101 melrose ave,3234610601,1
2113,2917,3380,bar moruno,90013,317 s broadway,3233721220,bar moruno,90013,317 s broadway,3233721220,1
2135,2934,926,el cochinito restaurant,90026,3508 w sunset blvd,3236680737,el amanecer restaurant,90026,3040 w sunset blvd,3236625295,-1
2142,2934,3384,el cochinito restaurant,90026,3508 w sunset blvd,3236680737,la caridad restaurant,90026,2619 w sunset blvd,2134840099,-1
2143,2935,507,cabo cantina,90028,6669 hollywood blvd,3233662565,cabo wabo cantina,90028,6801 hollywood blvd,3238601883,-1
2171,2960,973,el tapatio,90006,1201 venice blvd,3237511330,el tapatio,90006,1201 venice blvd,2133800882,1
2181,2970,48,el nuevo rinconcito oaxaqueno restaurant,90006,3071 w pico blvd,3237341033,el grullense restaurant,90006,2274 w pico blvd,2134879540,-1
2199,2975,4605,cafe intelligentsia,90291,1331 abbot kinney blvd,3103991233,intelligentsia coffee,90291,1331 abbot kinney blvd,3103991233,1
2210,2978,4298,crepe x-press cafe,90014,529 w 6th st,2136273739,arda's cafe,90014,418 w 6th st,2136894438,-1
2249,3007,1598,paper or plastik cafe,90019,5772 w pico blvd,3239350268,bloom cafe,90019,5544 w pico blvd,3239346900,-1
2255,3008,4228,cafe chez marie,90025,10681 santa monica blvd,3104752949,cafe chez marie,90025,10681 santa monica blvd,3104752949,1
2261,3012,4004,blacktop coffee,90013,826 e 3rd st,,blacktop coffee,90013,826 e 3rd st,2135998496,1
2274,3026,4309,volcano tea,90025,2111 sawtelle blvd,3104455326,volcano tea house,90025,2111 sawtelle blvd,3104455326,1
2276,3028,4323,peet's coffee & tea,90025,1854 westwood blvd,3109548558,peet's coffee,90025,1854 westwood blvd,3109548558,1
2288,3040,3957,paradocs coffee and tea,90019,1032 s fairfax ave,3239652158,paradocs coffee and tea,90019,1032 s fairfax ave,3239652158,1
2290,3042,3965,balconi coffee company,,11301 w. olympic blvd #124,,balconi coffee company,90064,11301 w olympic blvd,3109060267,1
2306,3062,4159,cafe tropical,90026,2900 w sunset blvd,3236618391,lot 1 cafe,90026,1533 w sunset blvd,2133755142,-1
2311,3074,4094,broome street general store,90039,2912 rowena ave,,broome street general store,90039,2912 rowena ave,3235700405,1
2313,3084,4318,"perry's cafe, bike, & beach rentals - playa del rey",90293,8255 vista del mar,3109390000,el segundo beach cafe,90293,12501 vista del mar,3102830071,-1
