ID,shop name,postal code,phone number,star,price,number of reviews,street address
795,starbucks,90028,,4.0,$$ - $$$,152,6933 hollywood blvd
796,candle cafe & grill,90291,3103144456,4.0,$$ - $$$,179,325 ocean front walk
797,umami burger,90028,3234693100,4.0,$$ - $$$,352,1520 north cahuenga blvd
798,carney's,91604,8187618300,4.5,$,117,12601 ventura blvd
799,wolfgang puck bar & grill - la live,90015,2137489700,4.0,$$ - $$$,267,800 west olympic blvd a180
800,faith and flower,90015,2132390642,4.0,$$$$,118,705 w 9th st
801,101 coffee shop,90028,3234671175,4.0,$$ - $$$,247,6145 franklin ave
802,home restaurant,90027,3236690211,4.0,$$ - $$$,119,1760 hillhurst ave
803,milk,90036,3239396455,4.5,$,124,7290 beverly blvd
804,fleming's prime steakhouse & wine bar,90015,2137459911,4.0,$$$$,216,800 w olympic blvd
805,olive & thyme,91505,8185571560,4.5,$$ - $$$,98,3821 w riverside dr
806,smashburger,90015,2136313355,4.0,$,130,1011 s figueroa st
807,the little beast,90041,3233415899,4.5,$$ - $$$,59,1496 colorado blvd
808,son of a gun,90048,3237829033,4.5,$$ - $$$,148,8370 w 3rd st
809,cafe pinot,90071,2132396500,4.5,$$$$,160,700 w 5th st
810,pig 'n' whistle,90028,3234630000,4.0,$$ - $$$,287,6714 hollywood blvd
811,jw's steakhouse,90045,3106415700,4.5,$$$$,92,5855 w century blvd
812,stella barra hollywood,90028,3233014001,4.5,$$ - $$$,45,6372 w sunset blvd
813,good neighbor,,8184576050,4.5,$$ - $$$,81,3701 cahuenga blvd
814,disney studio store & ghirardelli soda fountain,90028,3234660399,4.0,$$ - $$$,227,6834 hollywood blvd
815,leona restaurant,90291,3108225379,4.5,$$ - $$$,64,123 washington blvd
816,stout burgers and beers,91604,8185050076,4.5,$$ - $$$,87,11262 ventura blvd
817,gladstones,90272,3104543474,3.5,$$ - $$$,625,17300 pacific coast highway
818,vibrato grill jazz...etc.,90077,3104749400,4.5,$$$$,95,2930 n beverly glen cir
819,cafe bizou,91423,8187883536,4.5,$$ - $$$,203,14016 ventura blvd
820,coles,90014,2136224090,4.0,$$ - $$$,99,118 e 6th st
821,the little jewel of new orleans,90012,2136200461,4.5,$$ - $$$,52,207 ord st
822,blue cow kitchen & bar,90071,2136212249,4.0,$$ - $$$,107,350 south grand ave
823,barton g the restaurant,90069,3103881888,4.5,$$$$,89,861 n la cienega blvd
824,ihop,90028,3234668370,4.0,$,161,7006 w sunset blvd
825,dinah's family restaurant,90045,3106450456,4.0,$$ - $$$,180,6521 s sepulveda blvd
826,sqirl cafe,90029,3232848147,4.5,$$ - $$$,59,720 n virgil ave ste 4
827,traxx restaurant and bar,90012,2136251999,4.5,$$ - $$$,79,800 n alameda st
828,sidewalk cafe,90291,3103995547,4.0,$$ - $$$,341,1401 ocean front walk
829,kendall's brasserie and bar,90012,2139727322,4.0,$$ - $$$,153,135 n grand ave
830,firehouse,90291,3103966810,4.0,$$ - $$$,94,213 rose ave
831,tavern,90049,3108066464,4.0,$$$$,153,11648 san vincente blvd
832,bludsos,90036,3239312583,4.5,$$ - $$$,58,609 n la brea ave
833,rose cafe restaurant,90291,3103990711,4.0,$$ - $$$,210,220 rose ave
834,the oinkster,90041,3232556465,4.0,$$ - $$$,142,2005 colorado blvd
835,lard lad donuts,91608,,4.5,$,37,
836,jacks n joe,90007,2137484565,4.5,$$ - $$$,70,2498 s figueroa st
837,du-par's restaurant & bakery,90036,3239338446,4.0,$$ - $$$,150,6333 w. 3rd st.
838,fat sal's,90028,8556824373,4.5,$,44,1300 n highland ave
839,justice urban tavern,90012,2132539235,4.0,$$ - $$$,101,120 s los angeles st
840,figueroa philly cheese steak,90037,2137489073,4.5,$,63,3844 south figueroa st.
841,fiddler's bistro,90036,3239318167,4.5,$$ - $$$,68,6009 w 3rd st
842,barlo kitchen + cocktails,,,4.5,$$ - $$$,67,"hotel erwin, venice beach"
843,the district restaurant,,2134883500,4.5,$$ - $$$,31,711 s hope st
844,plan check kitchen,90036,3104733222,4.5,$$ - $$$,43,351 n fairfax ave
845,salt air,90291,3103969333,4.5,$$ - $$$,117,1616 abbot kinney blvd
846,little dom's,90027,3236610055,4.0,$$ - $$$,111,2128 hillhurst ave
847,hinano cafe,90292,3108223902,4.5,$,79,15 washington blvd
848,cheebo,90046,3238507070,4.0,$$ - $$$,110,7533 w sunset blvd
849,the sycamore kitchen,90036,,4.5,$$ - $$$,64,143 s la brea ave
850,simmzy's venice,,4248356580,4.5,$$ - $$$,30,37 washington blvd
851,the edison,90012,2136130000,4.5,$$ - $$$,110,108 w 2nd st apt 101
852,boa,,,4.5,$$$$,104,sunset blv
853,hooters,90028,3239623373,3.5,$$ - $$$,400,hollywood blvd
854,suncafe organic,91604,8183087420,4.5,$$ - $$$,57,10820 ventura blvd
855,the coffee co.,90045,3106457315,4.5,$$ - $$$,61,8751 la tijera blvd
856,beachwood cafe,90068,3238711717,4.5,$$ - $$$,71,2695 n beachwood dr
857,a-frame,90066,3103987700,4.0,$$ - $$$,74,12565 w washington blvd
858,napa valley grille,90024,3108243322,4.0,$$ - $$$,190,1100 glendon ave
859,bandera,90025,3104773524,4.5,$$$$,92,11700 wilshire blvd
860,the trails cafe,90068,3238712102,4.5,$,51,2333 fern dell dr
861,the standard downtown restaurant & lounge,90071,2138928080,4.0,$$ - $$$,145,550 s flower st
862,gulfstream,90067,3105533636,4.5,$$ - $$$,114,10250 santa monica blvd
863,high rooftop lounge,90291,4242141062,4.0,$$ - $$$,125,1697 pacific ave
864,the waffle,90028,3234656901,4.0,$$ - $$$,107,6255 w sunset blvd
865,rex's cafe,90731,3105197190,4.5,$$ - $$$,52,2136 s pacific ave
866,real food daily - west hollywood,90048,3102899910,4.5,$$ - $$$,99,414 n la cienega blvd
867,terrace cafe,90292,3105781530,4.0,$$ - $$$,244,7 washington blvd
868,tasting kitchen,90291,3103926644,4.0,$$$$,168,1633 abbot kinney blvd
869,the morrison,90039,3236671839,4.5,$$ - $$$,48,3179 los feliz blvd
870,messhall,,3236606377,4.0,$$ - $$$,86,los feliz blvd. & hillhurst ave.
871,stan's corner donut shoppe,90024,3102088660,4.5,$,46,10948 weyburn ave
872,the grill on hollywood,90028,3238565530,4.0,$$$$,259,6800 hollywood blvd ste 407
873,tlt food,90024,3104434433,4.5,$$ - $$$,46,1116 westwood blvd
874,saddle ranch chop house,91608,8187609680,4.0,$$ - $$$,324,1000 universal city walk
875,patina restaurant,90012,2139723331,4.0,$$$$,130,141 s grand ave
876,sizzler - manchester ave.,90045,3106411167,4.0,$$ - $$$,80,5856 w manchester ave
877,leo & lily,91364,8182226622,4.5,$$ - $$$,58,22420 ventura blvd.
878,kings road cafe,90048,3236559044,4.0,$$ - $$$,111,8361 beverly blvd
879,baltaire,90049,4242731660,4.0,$$$$,78,11647 san vicente blvd
880,phil s deli & grill,90036,3239363704,4.5,$,55,6333 w third st.
881,jeff's gourmet sausage factory,,3108588590,4.5,$,47,8930 w pico blvd
882,bob's coffee & doughnuts,90036,3239338929,4.5,$,91,6333 w 3rd st. ste 450
883,norms,90048,3106578333,4.5,$,85,470 n. la cienega blvd.
884,noe restaurant & bar,,2133564100,4.0,$$$$,164,251 s olive st
885,the larder at burton way,90048,3102788060,4.5,$$ - $$$,44,8500 burton way ste 200
886,emc seafood and raw bar,90020,2133519988,4.5,$$ - $$$,47,3500 w 6th st
887,the village idiot,90046,3236553331,4.0,$$ - $$$,91,7383 melrose ave
888,nick & stef's steakhouse,90071,2136800330,4.0,$$$$,125,330 s hope st
889,clifton's,90014,2136271673,3.5,$$ - $$$,153,648 s broadway
890,the local peasant,91423,8185010234,4.5,$$ - $$$,71,14058 ventura blvd
891,inn of the seventh ray,90290,3104551311,4.0,$$$$,215,128 old topanga canyon rd
892,tommy's original hamburger,90057,2133899060,4.5,$,142,2575 beverly blvd
893,solar de cahuenga,90028,3234677510,4.5,$$ - $$$,71,1847 cahuenga blvd
894,nat's early bite,91401,8187813040,4.5,$,50,14115 burbank blvd
895,fonuts,90048,,4.5,$,41,8104 w 3rd st
896,playa provisions,90293,3106835019,4.0,$$ - $$$,80,119 culver blvd
897,black market liquor bar,91604,8184462533,4.5,$$ - $$$,63,11915 ventura blvd
898,lacma cafe,90036,3238576197,4.0,$$ - $$$,78,5905 wilshire blvd
899,buffalo wild wings,90028,3234661721,4.0,$$ - $$$,172,7060 hollywood blvd
900,jar,90048,3236556566,4.0,$$$$,120,8225 beverly blvd
901,danny's venice deli,90291,3105665610,4.0,$$ - $$$,155,23 windward ave
902,bombo foods,90013,2136283400,4.5,$,26,317 s broadway
903,happy diner,90731,3102410917,4.5,$,34,617 s centre st
904,more than waffles,91316,8187895937,4.5,$$ - $$$,68,17200 ventura blvd ste 109
905,33 taps,90028,3239621400,4.0,$$ - $$$,92,6263 hollywood blvd
906,tam o'shanter,90039,3236640228,4.0,$$ - $$$,191,2980 los feliz blvd
907,mendocino farms,90071,2136201114,4.5,$$ - $$$,64,300 s grand ave
908,firefly,91604,8187621833,4.0,$$$$,81,11720 ventura blvd
909,beer belly,90020,2133872337,4.0,$$ - $$$,82,532 s western ave
910,pat's restaurant,,3102058705,4.5,$$$$,47,9233 west pico blvd
911,nick's cafe,90012,3232221450,4.5,$,44,1300 n spring st
912,cliff's edge,90026,3236666116,4.0,$$ - $$$,117,3626 west sunset blvd
913,griffith park,90027,3236617212,4.5,$,43,4730 crystal springs dr
914,la chapter,,2136233237,4.5,$$ - $$$,63,broadway
915,carl's jr.,90045,3102169306,4.0,$,143,5625 w century blvd
916,on the waterfront cafe,90291,3103920322,4.0,$$ - $$$,70,205 ocean front walk
917,ledlow,90013,2136877000,4.5,$$ - $$$,34,400 s main st
918,la prime at the westin bonaventure hotel,90071,2136124743,4.0,$$$$,182,404 s figueroa st
919,delphine eatery & bar,90028,3237981355,4.0,$$ - $$$,199,6250 hollywood blvd
920,mauro's cafe & ristorante,90046,3236537970,4.5,$$ - $$$,31,8112 melrose ave
921,the bunker hill bar & grill,90071,2136882988,4.0,$$ - $$$,76,601 w 5th st
922,house of pies,90027,3236669961,4.0,$,84,1869 n vermont ave
923,patys,91602,8187610041,4.0,$$ - $$$,90,10001 riverside dr
924,the counter,90046,3234363844,4.0,$$ - $$$,45,7919 w sunset blvd
925,spear steak & seafood house,90017,2136883000,4.0,$$ - $$$,61,800 w 6th st
926,the counter miracle mile,90036,3239328900,4.0,$$ - $$$,56,5779 wilshire blvd
927,umami burger & umamicatessen los angeles,90014,2134138626,4.0,$$ - $$$,72,852 s broadway
928,fat sal's deli,90024,8556824373,4.5,$,43,972 gayley ave
929,cici's cafe,91356,8188816704,4.5,$$ - $$$,78,18912 ventura blvd
930,evo kitchen,90046,3233753390,4.5,$$ - $$$,37,7950 w sunset blvd
931,hungry cat,90028,3234622155,4.0,$$ - $$$,100,1535 vine st
932,girasol,91602,8189242323,4.0,$$$$,54,11334 moorpark st
933,midici,91403,8187882178,4.5,$$ - $$$,32,14612 ventura blvd
934,father's office,90034,3108159820,4.0,$$ - $$$,133,3229 helms ave
935,bj's restaurant & brewhouse,91367,8183401748,4.0,$$ - $$$,127,6424 canoga ave
936,the kitchen,90029,3236643663,4.5,$$ - $$$,67,4348 fountain ave
937,tuning fork gastropub,91604,8186230734,4.5,$$ - $$$,36,12051 ventura pl
938,sprinkles cupcakes,90017,2132282100,4.5,$$ - $$$,53,735 s figueroa st
939,bank of venice,90291,3104505222,4.0,$$ - $$$,55,80 windward ave
940,deus ex machina - emporium of post modern activities,,8885153387,5.0,$,15,1001 venice blvd
941,fords filling station,90015,2137658630,4.0,$$ - $$$,143,900 w olympic blvd
942,cafe 50's,90025,3104791955,4.5,$,59,11623 santa monica blvd
943,gus's world famous fried chicken,90019,3234020232,4.5,$$ - $$$,20,1262 crenshaw blvd.
944,harvest moon kitchen and marketplace,91607,8184873923,4.5,$$ - $$$,23,12456 magnolia blvd
945,bld,90036,3239309744,4.0,$$ - $$$,126,7450 beverly blvd
946,eat,91601,8187604787,4.5,$$ - $$$,38,11108 magnolia blvd
947,chick-fil-a,90028,3234642455,4.5,$,33,6750 w sunset blvd
948,artisan house,90014,2136226333,4.5,$$ - $$$,57,600 s main street
949,john o' groats,90064,8185012366,4.0,$$ - $$$,67,10516 w pico blvd
950,the golden state,90036,3237828331,4.5,$$ - $$$,42,426 north fairfax avenue
951,delancey,90028,3234692100,4.5,$$ - $$$,46,5936 w sunset blvd
952,the cafe at the four seasons hotel,90048,3102732222,4.5,$$ - $$$,65,300 s doheny dr
953,the larchmont,90038,3234644277,4.5,$$$$,62,5750 melrose ave
954,the bellwether,91603,8182858184,4.0,$$ - $$$,28,13251 ventura blvd
955,mama shelter los angeles restaurant,90028,3237856666,4.0,$$ - $$$,52,6500 selma ave
956,palomino - los angeles,90024,3102081960,4.0,$$ - $$$,117,10877 wilshire blvd ste 150
957,sage organic vegan,90026,2139891718,4.5,$$ - $$$,73,1700 w sunset blvd
958,granville,,8185067050,4.0,$$ - $$$,51,12345 ventura blvd
959,barrel & ashes,91604,8186238883,4.0,$$ - $$$,63,11801 ventura blvd
960,aroma bakery cafe,90046,3238508120,3.5,$$ - $$$,92,7373 w sunset blvd
961,tony roma's,91608,8187637662,4.0,$$ - $$$,200,1000 universal studios blvd
962,ruth's chris steak house - woodland hills,,8182279505,4.5,$$$$,68,westfield shopping towne promenade
963,fred 62,90027,3236670062,4.0,$$ - $$$,120,1850 n vermont ave
964,blue dog beer tavern,91403,8189902583,4.0,$$ - $$$,50,4524 saugus ave
965,omelette & waffle shop,90731,3108313277,4.5,$,50,1103 s gaffey st
966,tipsy cow,91364,8189868472,4.0,$$ - $$$,35,15005 ventura blvd
967,grinder restaurant san pedro,90731,3108321267,4.0,$,53,511 s harbor blvd
968,public school 213,90017,2136231172,4.0,$$ - $$$,42,612 s flower st # 220
969,in-n-out burger,90068,8007861000,4.0,$,43,3640 cahuenga blvd w
970,california donuts,90020,2133853318,4.5,$,32,801 s alvarado st
971,sweetie pie's,91601,8187611325,4.0,$$ - $$$,48,5230 lankershim blvd
972,pagliacci's,91604,8185064111,4.5,$$ - $$$,23,4366 coldwater canyon ave
973,larchmont bungalow,90004,3234611528,4.5,$$ - $$$,53,107 n larchmont blvd
974,22nd street landing seafood grill & bar,90731,3105484400,4.0,$$ - $$$,97,141 w 22nd st ste a
975,pacific diner,90731,3108315334,4.5,$,44,3821 s pacific ave
976,busy bee,90731,3108328660,4.5,$,28,2413 s walker ave
977,wood & vine,90028,3233343360,4.0,$$ - $$$,101,6280 hollywood blvd
978,smeraldi's,90071,2136121562,4.0,$$ - $$$,67,506 south grand avenue
979,latitude 33,90045,3106415700,3.5,$$ - $$$,131,5855 west century blvd
980,les sisters southern kitchen,91311,8189980755,4.5,$$ - $$$,53,21818 devonshire st
981,marie callender pie shop,90036,3239377952,4.0,$$ - $$$,46,5773 wilshire blvd
982,blue palms brewhouse,90028,3234642337,4.5,$$ - $$$,38,6124 hollywood blvd
983,bistro garden at coldwater,91604,8185010202,4.5,$$$$,54,12950 ventura blvd
984,la cafe,90014,2136123000,4.0,$,41,639 s spring st
985,fish grill,90036,3239377162,4.5,$,36,7226 beverly blvd
986,astro burger,,,4.5,$,48,7475 santa monica blvd
987,oscar's cerveteca,90291,3103108937,4.5,$$ - $$$,37,523 rose ave
988,dave & buster's,90028,,4.0,$$ - $$$,68,6801 hollywood blvd
989,birds rotisserie chicken cafe and bar,90028,3234650175,4.0,$$ - $$$,38,5925 franklin ave
990,94th aero squadron,91406,8189947437,4.0,$$ - $$$,68,16320 raymer ave
991,wayback burgers,90027,3239609066,4.5,$,19,5445 hollywood blvd
992,the roof,,3238526002,4.0,$$ - $$$,72,the hotel wilshire
993,taylor's steakhouse,90005,2133828449,4.0,$$$$,73,3361 w 8th st
994,fatburger,91604,8187698725,4.5,$,54,10600 1/2 ventura blvd
995,my two cents,90019,3239381012,4.5,$$ - $$$,29,5583 w pico blvd
996,norms restaurant,90064,3104792978,4.0,$,55,11001 w pico blvd
997,lawry's carvery,90015,2132222212,4.0,$$ - $$$,95,1101 s figueroa st
998,hollywood burger - los angeles,90028,3233785668,4.0,$,17,6250 hollywood blvd.
999,san antonio winery,90031,3232231401,4.5,$$ - $$$,68,737 lamar st
1000,checkers downtown,90071,2138910519,4.0,$$ - $$$,60,535 s grand ave
1001,san pedro brewing company,90014,3018315663,4.5,$$ - $$$,65,331 w 6th st
1002,nick's coffee shop & deli,90035,3106523567,4.5,$,36,8536 w pico blvd
1003,wetzel's pretzels,90028,3234641999,4.0,$,51,6922 hollywood blvd
1004,fratelli cafe,90046,3239382233,4.5,$$ - $$$,32,7200 melrose ave
1005,clementine,90024,3105521080,4.0,$$ - $$$,63,1751 ensley ave
1006,orleans and york deli,90043,3232918800,4.5,$$ - $$$,31,4454 w slauson ave
1007,valley inn restaurant,91403,8187841163,4.0,$$ - $$$,47,4557 sherman oaks ave
1008,west restaurant and lounge,90049,3104817878,4.0,$$ - $$$,120,170 n church ln
1009,marmalade cafe,91403,8189058872,4.0,$$ - $$$,114,14910 ventura blvd
1010,canele,90039,3236667133,4.5,$$ - $$$,47,3219 glendale blvd
1011,the spare room,,,4.5,$$ - $$$,38,"the hollywood roosevelt hotel, mezzanine"
1012,spring street smokehouse,90012,2136260535,4.5,$$ - $$$,55,640 n spring st
1013,fisherman's outlet restaurant and market,90013,2136277231,4.5,$$ - $$$,34,529 s central ave
1014,cafe vida,90272,3105731335,4.0,$$ - $$$,59,15317 antioch st
1015,tom's urban - at l.a. live,90015,2137468667,3.5,$$ - $$$,157,1011 s figueroa st
1016,millie's,90026,3236640404,4.0,$$ - $$$,49,3524 w sunset blvd
1017,mendocino farms,91423,8182059744,4.5,$$ - $$$,27,14141 ventura blvd
1018,westside tavern,90064,3104701539,4.0,$$ - $$$,105,10850 w pico blvd
1019,cooks county,90048,3236538009,4.5,$$ - $$$,45,8009 beverly blvd
1020,republic of pie,91601,,4.0,$$ - $$$,42,11118 magnolia blvd
1021,the six,91604,8187612319,4.0,$$ - $$$,41,12650 ventura blvd
1022,pace,90046,3236548583,4.0,$$ - $$$,88,2100 laurel canyon blvd
1023,the carving board,,8183423200,4.5,$$ - $$$,29,18607 ventura blvd #100
1024,nook bistro,90025,3102075160,4.0,$$ - $$$,46,11628 santa monica blvd
1025,denny's,90028,2134648435,4.0,$$ - $$$,82,5751 west sunset blvd
1026,follow your heart market & cafe,91303,8183483240,4.5,$$ - $$$,55,21825 sherman way
1027,magee's,90036,3239384127,4.5,$,16,6333 w 3rd st
1028,corner bakery cafe,90024,3108241314,4.0,$,33,1019 s. westwood blvd
1029,native foods,90024,3102091055,4.5,$$ - $$$,52,1110 1/2 gayley ave
1030,shiloh's steakhouse,,3108581652,4.5,$$$$,40,8939 w pico blvd
1031,ruth's chris steak house,91367,8182279505,4.5,$$$$,75,6100 topanga canyon blvd
1032,square one dining,90029,3236611109,4.0,$$ - $$$,64,4854 fountain ave
1033,skooby's,90028,3234683647,4.5,$,62,6654 hollywood blvd
1034,yard house - northridge,91324,8187210085,4.0,$$ - $$$,45,9301 tampa ave
1035,du-par's restaurant studio city,91604,8187664437,4.0,$$ - $$$,56,12036 ventura blvd.
1036,engine co. no. 28,90017,2136246996,3.5,$$ - $$$,160,644 s figueroa st
1037,the tripel,90293,3108210333,4.5,$$ - $$$,48,333 culver blvd
1038,red lobster,91307,8187139297,4.0,$$ - $$$,81,22800 van owen ave
1039,bonaventure brewing co.,,2132360802,4.0,$$ - $$$,113,404 s figueroa st
1040,le pain quotidien,91604,8189861929,4.5,$$ - $$$,25,13045 ventura blvd
1041,basix cafe,90069,3238482460,4.0,$$ - $$$,66,8333 santa monica blvd
1042,auntie anne's pretzel,90028,3234627122,4.0,$,48,6801 hollywood blvd
1043,doughboys cafe,,3238521020,4.5,$$ - $$$,58,8136 w 3rd st
1044,sunny spot,,3104488884,4.0,$$ - $$$,56,822 washington blvd
1045,jerry's famous deli,91604,8189804245,3.5,$$ - $$$,55,12655 ventura blvd
1046,american girl bistro,,8772475223,4.5,$$ - $$$,18,american girl place los angeles
1047,the stand,91316,8187882700,4.0,$,31,17000 ventura blvd
1048,preux & proper,90014,2138960090,4.5,$$ - $$$,20,840 s spring st
1049,knuckle and claw,90026,3234076142,4.5,$$ - $$$,17,3112 w sunset blvd
1050,on sunset @ luxe hotel sunset blvd,90049,3106917584,4.0,$$$$,71,11461 w sunset blvd
1051,ports o'call waterfront dining,90731,3108333553,4.0,$$ - $$$,74,1200 nagoya way
1052,morton's the steakhouse,90017,2135534566,4.0,$$$$,56,735 s figueroa st
1053,dudley market,90291,4247448060,4.0,$$ - $$$,27,9 dudley ave
1054,claim jumper,91324,8187182882,4.0,$$ - $$$,57,9429 tampa ave
1055,cuvee,90048,3102714333,4.0,$$ - $$$,32,145 s. robertson blvd
1056,the churchill,90048,3236558384,4.0,$$ - $$$,71,8384 w 3rd st
1057,3 square cafe and bakery,,,4.5,$$ - $$$,30,121 abbot kinney blvd
1058,coffee company,,3106457315,4.5,$$ - $$$,35,
1059,lenny's deli,90064,3104755771,4.0,$$ - $$$,96,2379 westwood blvd
1060,snow white cafe and grill,90028,3234654444,4.0,$,54,6769 hollywood blvd
1061,hot & juicy crawfish,90046,3239698902,4.5,$$ - $$$,33,7100 santa monica blvd
1062,doomie's,90038,3234694897,4.5,$,25,"1253 vine street, suite 9"
1063,grub,90038,3234613663,4.0,$$ - $$$,93,911 seward st
1064,horse thief bbq restaurant,90013,,4.0,$$ - $$$,28,324 s hill st
1065,humble potato - the original hambaga,90045,3239892242,4.5,$$ - $$$,25,8321 lincoln blvd
1066,burger lounge,90004,3234622310,4.5,$,14,217 n larchmont blvd
1067,the park's finest,90026,2134182800,4.0,$$ - $$$,35,1267 w temple st
1068,bennett's ice cream,90036,,4.0,$,30,6333 w 3rd st
1069,zelda's corner,,,4.5,$,23,9 westminster ave
1070,the dresden room,90027,3236654294,4.0,$$ - $$$,73,1760 n vermont ave
1071,think cafe,,3105193662,4.5,$$ - $$$,28,302 west 5th street suite 105
1072,panera bread,90045,3106419200,4.0,$,46,8647 s sepulveda blvd
1073,city tavern - dtla,90017,2132395654,4.0,$$ - $$$,30,735 s figueroa st
1074,jody maroni's sausage kingdom,90291,3108225639,4.5,$,28,2011 ocean front walk
1075,cre8 crepes,90028,,5.0,$,9,6654 hollywood blvd
1076,public school 818,91403,8187289818,4.0,$$ - $$$,33,15300 ventura blvd
1077,barbrix,90027,3236622442,4.5,$$ - $$$,41,2442 hyperion ave
1078,post & beam,90008,3232995599,4.5,$$ - $$$,35,767 santa rosalia dr
1079,goldies,90048,3236772470,4.5,$$ - $$$,21,8422 w 3rd st
1080,arnie morton's the steakhouse - woodland hills,91367,8187037272,4.0,$$$$,41,6250 canoga ave
1081,boneyard bistro,91423,8189067427,4.0,$$ - $$$,64,13539 ventura blvd
1082,jimmy's famous american tavern,,8183690005,4.0,$$ - $$$,21,6250 topanga canyon blvd
1083,juicy burger,90028,,4.5,$,47,6340 hollywood blvd
1084,souplantation,90049,3104767080,4.0,$,51,11911 san vicente blvd ste 116
1085,joey woodland hills,,8183405639,4.0,$$ - $$$,32,6344 topanga canyon blvd
1086,five guys,90024,3102087093,4.5,$,17,1061 broxton ave
1087,wexler's deli,90013,2136200633,4.0,$$ - $$$,49,317 s broadway
1088,chowder barge,,3108307937,4.0,$$ - $$$,20,611 n hernry ford ave
1089,breeze restaurant,90067,3102772000,4.0,$$$$,77,2025 avenue of the stars
1090,the backyard,90024,,4.0,$$ - $$$,38,930 hilgard ave
1091,pico deli,90035,3102739381,4.5,$$ - $$$,30,8826 w pico blvd
1092,marix tex mex cafe,90069,3236568800,4.0,$$ - $$$,70,1108 n flores st
1093,kelly's coffee and fudge,90028,,4.0,$,23,6895 hollywood blvd
1094,denny's - bellanca,90045,2137764888,4.0,$,47,8601 bellanca avenue
1095,concert hall cafe,90012,2139723550,4.0,$$ - $$$,32,141 s grand ave
1096,sweetsalt food shop,91602,8185097790,4.5,$$ - $$$,23,10218 riverside dr
1097,four cafe,90041,3235501988,4.5,$$ - $$$,17,2122 colorado blvd
1098,auntie em's kitchen,90041,3232550800,4.0,$$ - $$$,72,4616 eagle rock blvd
1099,fundamental,90024,3104447581,4.5,$$ - $$$,31,1303 westwood blvd
1100,m cafe de chaya,90046,3235250588,4.0,$$ - $$$,67,7119 melrose ave
1101,food,,3104417770,4.5,$,27,10571 pico blvd
1102,bar | kitchen,90017,2136239904,4.5,$$ - $$$,39,819 s flower st
1103,the villa,,8187041185,4.0,$$ - $$$,55,22160 ventura blvd.
1104,jinky's cafe,91423,8189812250,4.0,$$ - $$$,70,14120 ventura blvd
1105,coral tree cafe,,8187898733,4.5,$$ - $$$,21,17499 ventura blvd
1106,landings,,3104104000,4.0,$$ - $$$,52,"hilton lax, 5711 west century blvd"
1107,country deli and restaurant,91311,8187095612,4.0,$$ - $$$,29,9901 topanga canyon blvd
1108,blue plate oysterette,90048,3236565474,4.0,$$ - $$$,32,8048 w 3rd st
1109,cindy's eagle rock - temporarily closed,90041,3232577375,4.5,$,18,1500 colorado blvd
1110,bear pit bar-b-que restaurant,91345,8183652509,3.5,$$ - $$$,77,10825 sepulveda blvd
1111,kfc,91608,8189804532,4.0,$,50,100 universal city plz
1112,whisper restaurant & lounge,90036,3239310202,4.0,$$ - $$$,48,189 the grove dr ste f90b
1113,islands,90045,3106708580,4.5,$$ - $$$,19,6081 center dr
1114,delmonico's lobster house,91436,8189860777,4.0,$$$$,51,16358 ventura blvd
1115,harold and belle's,90018,3237359023,4.0,$$ - $$$,53,2920 w jefferson blvd
1116,lighthouse deli,90731,3105483354,4.5,$$ - $$$,22,508 w 39th st
1117,the restaurant at the standard,90069,3236509090,4.0,$$ - $$$,43,8300 w sunset blvd
1118,taste at the palisades,90272,3104599808,4.0,$$ - $$$,35,538 palisades dr
1119,franklin & company tavern,90028,3234631552,4.0,$$ - $$$,26,5923 franklin ave
1120,yardhouse,,,4.0,$$ - $$$,28,northridge fashion square
1121,emle's,91324,8187722203,4.5,$$ - $$$,22,9250 reseda blvd.
1122,louise's trattoria,90004,3239629510,4.0,$$ - $$$,26,232 n larchmont blvd
1123,rockwell table & stage,90027,3236691550,4.0,$$ - $$$,36,1714 n vermont ave
1124,dog haus,91303,8183404287,4.0,$,16,6501 topanga canyon blvd
1125,mary and robb's westwood cafe,90024,3104783822,4.5,$$ - $$$,30,1453 westwood blvd
1126,gta,,,4.5,$$ - $$$,24,1510 abbot kinney blvd
1127,superba snack bar,90291,3103996400,4.0,$$ - $$$,51,533 rose ave
1128,edendale,90039,3236662000,4.0,$$ - $$$,46,2838 rowena ave
1129,rusty mullet,90028,,3.5,$,36,1708 n las palmas ave
1130,cletus' chicken shack,32819,,3.5,$,37,1000 universal studios plz
1131,lucky devils,90028,3234658259,4.0,$$ - $$$,66,6613 hollywood blvd
1132,sweet butter kitchen cafe market,91423,8187882832,4.5,$$ - $$$,48,13824 ventura blvd
1133,tender greens,90014,2138731890,4.5,,12,523 w 6th st
1134,hatfield's,90038,3239352977,4.5,$$$$,122,6703 melrose ave
1135,iii forks steak house,,3102580293,4.0,$$ - $$$,54,"tom bradley terminal, mezzanine, lax international airport, los angeles, ca"
1136,simply wholesome,90043,3232942144,4.0,$$ - $$$,21,4508 w slauson ave
1137,pono burger,90291,3103926200,4.5,$$ - $$$,8,512 rose avenue
1138,ostrich farm,90026,2135370657,4.5,$$ - $$$,11,1525 w sunset blvd
1139,century taproom,,3106427500,4.0,$$ - $$$,34,5985 w century blvd
1140,state social house,90069,,4.0,$$ - $$$,46,8782 w sunset blvd
1141,poppy & rose,90014,2139957799,4.5,$$ - $$$,18,765 wall st
